Subject	Language	AgeGroup	Group	Trial	ID	Type	SpatialRelation	TargetPic	ContrastPic	CompPic	DistrPic	Pic1Position	Pic2Position	Pic3Position	Pic4Position	TrialStartTime	PreviewTime	ArrowTime	VisualDisplayTime	NoiseDisplayTime	TrialEndTime	ReactionTime
51	3	1	1	78	80	FBE	behind	f_slipper_phoneold_behind.jpg	f_slipper_phoneold_front.jpg	f_slipper_phoneold_on.jpg	f_slipper_phoneold_in.jpg	6	8	9	7	1271470	1273486	1274502	1275035	1277051	1284545	7491
51	3	1	1	34	81	FC	on	f_paper_rubber_on.jpg	f_paper_rubber_left.jpg	f_paper_rubber_right.jpg	f_paper_rubber_front.jpg	6	8	7	9	1284865	1286881	1287897	1288431	1290447	1297199	6748
51	3	1	1	8	82	EC	right	c_bowl_tomato_right.jpg	c_bowl_tomato_left.jpg	c_bowl_tomato_front.jpg	c_bowl_tomato_in.jpg	7	8	9	6	1297461	1299477	1300493	1301026	1303042	1309615	6568
51	3	1	1	77	83	FBE	behind	f_bag_headphones_behind.jpg	f_bag_headphones_front.jpg	f_bag_headphones_on.jpg	f_bag_headphones_in.jpg	9	7	6	8	1309923	1311939	1312955	1313489	1315504	1323565	8056
51	3	1	1	48	84	FN	on	f_pan_cookingspoonplastic_on.jpg	f_pan_cookingspoonplastic_left.jpg	f_pan_cookingspoonplastic_front.jpg	f_pan_cookingspoonplastic_in.jpg	6	9	8	7	1323952	1325967	1326984	1327517	1329533	1337208	7672
51	3	1	1	18	85	EN	left	n_cup_pencil_left.jpg	n_cup_pencil_front.jpg	n_cup_pencil_in.jpg	n_cup_pencil_on.jpg	6	8	7	9	1337530	1339546	1340562	1341095	1343111	1349852	6735
51	3	1	1	73	86	FBI	in	f_plate_brush2red_in.jpg	f_plate_brush2red_right.jpg	f_plate_brush2red_behind.jpg	f_plate_brush2red_front.jpg	9	8	7	6	1350226	1352242	1353258	1353791	1355807	1363268	7455
51	3	1	1	53	87	FN	front	f_mug_spoon_front.jpg	f_mug_spoon_right.jpg	f_mug_spoon_on.jpg	f_mug_spoon_in.jpg	9	6	8	7	1363588	1365604	1366620	1367153	1369169	1374742	5570
52	3	1	1	1	1	P	right	p_frame_lipstick_right.JPG	p_frame_lipstick_behind.JPG	p_frame_lipstick_under.JPG	p_frame_lipstick_on.JPG	8	7	6	9	93783	95799	96815	97348	99364	117814	18444
52	3	1	1	2	2	P	on	p_racket_tennisball_on.JPG	p_racket_tennisball_front.JPG	p_racket_tennisball_left.JPG	p_racket_tennisball_under.JPG	8	6	9	7	118041	120057	121073	121607	123622	132243	8615
